t_ms,equity
1779926400000,200.00
1779926700000,200.00
1779927000000,200.00
1779927300000,200.00
1779927600000,200.00
1779927900000,200.00
1779928200000,200.00
1779928500000,200.00
1779928800000,200.00
1779929100000,200.00
1779929400000,200.00
1779929700000,200.00
1779930000000,200.00
1779930300000,200.00
1779930600000,200.00
1779930900000,200.00
1779931200000,200.00
1779931500000,200.00
1779931800000,200.00
1779932100000,200.00
1779932400000,200.00
1779932700000,200.00
1779933000000,200.00
1779933300000,200.00
1779933600000,200.00
1779933900000,200.00
1779934200000,200.00
1779934500000,200.00
1779934800000,200.00
1779935100000,200.00
1779935400000,200.00
1779935700000,200.00
1779936000000,200.00
1779936300000,200.00
1779936600000,200.00
1779936900000,200.00
1779937200000,200.00
1779937500000,200.00
1779937800000,200.00
1779938100000,200.00
1779938400000,200.00
1779938700000,200.00
1779939000000,200.00
1779939300000,200.00
1779939600000,200.00
1779939900000,200.00
1779940200000,200.00
1779940500000,200.00
1779940800000,200.00
1779941100000,200.00
1779941400000,200.00
1779941700000,200.00
1779942000000,200.00
1779942300000,200.00
1779942600000,200.00
1779942900000,200.00
1779943200000,200.00
1779943500000,200.00
1779943800000,200.00
1779944100000,200.00
1779944400000,200.00
1779944700000,200.00
1779945000000,200.00
1779945300000,200.00
1779945600000,200.00
1779945900000,200.00
1779946200000,200.00
1779946500000,200.00
1779946800000,200.00
1779947100000,200.00
1779947400000,200.00
1779947700000,200.00
1779948000000,200.00
1779948300000,200.00
1779948600000,200.00
1779948900000,200.00
1779949200000,200.00
1779949500000,200.00
1779949800000,200.00
1779950100000,200.00
1779950400000,200.00
1779950700000,200.00
1779951000000,200.00
1779951300000,200.00
1779951600000,200.00
1779951900000,200.00
1779952200000,200.00
1779952500000,200.00
1779952800000,200.00
1779953100000,200.00
1779953400000,200.00
1779953700000,200.00
1779954000000,200.00
1779954300000,200.00
1779954600000,200.00
1779954900000,200.00
1779955200000,200.00
1779955500000,200.00
1779955800000,200.00
1779956100000,200.00
1779956400000,200.00
1779956700000,200.00
1779957000000,200.00
1779957300000,200.00
1779957600000,200.00
1779957900000,200.00
1779958200000,200.00
1779958500000,200.00
1779958800000,200.00
1779959100000,200.00
1779959400000,200.00
1779959700000,200.00
1779960000000,200.00
1779960300000,200.00
1779960600000,200.00
1779960900000,200.00
1779961200000,200.00
1779961500000,200.00
1779961800000,200.00
1779962100000,200.00
1779962400000,200.00
1779962700000,200.00
1779963000000,200.00
1779963300000,200.00
1779963600000,200.00
1779963900000,200.00
1779964200000,200.00
1779964500000,200.00
1779964800000,200.00
1779965100000,200.00
1779965400000,200.00
1779965700000,200.00
1779966000000,200.00
1779966300000,200.00
1779966600000,200.00
1779966900000,200.00
1779967200000,200.00
1779967500000,200.00
1779967800000,200.00
1779968100000,200.00
1779968400000,200.00
1779968700000,200.00
1779969000000,200.00
1779969300000,200.00
1779969600000,200.00
1779969900000,200.00
1779970200000,200.00
1779970500000,200.00
1779970800000,200.00
1779971100000,200.00
1779971400000,200.00
1779971700000,200.00
1779972000000,200.00
1779972300000,200.00
1779972600000,200.00
1779972900000,200.00
1779973200000,200.00
1779973500000,200.00
1779973800000,200.00
1779974100000,200.00
1779974400000,200.00
1779974700000,200.00
1779975000000,200.00
1779975300000,200.00
1779975600000,200.00
1779975900000,200.00
1779976200000,200.00
1779976500000,200.00
1779976800000,200.00
1779977100000,200.00
1779977400000,200.00
1779977700000,200.00
1779978000000,200.00
1779978300000,200.00
1779978600000,200.00
1779978900000,200.00
1779979200000,200.00
1779979500000,200.00
